date, price
2003/3/13,20.0322
2003/3/14,18.6506
2003/3/17,19.111099
2003/3/18,18.7082
2003/3/19,18.7658
2003/3/20,18.880899
2003/3/21,18.420401
2003/3/24,18.420401
2003/3/25,19.456499
2003/3/26,18.938499
2003/3/27,18.7082
2003/3/28,19.0536
2003/3/31,18.823299
2003/4/1,18.938499
2003/4/2,18.132601
2003/4/3,18.132601
2003/4/4,17.729601
2003/4/7,17.729601
2003/4/8,18.132601
2003/4/9,17.8447
2003/4/10,17.3267
2003/4/11,17.3267
2003/4/14,17.384199
2003/4/15,17.3267
2003/4/16,17.2691
2003/4/17,17.5569
2003/4/18,17.672001
2003/4/21,17.8447
2003/4/22,17.153999
2003/4/23,18.3053
2003/4/24,18.017401
2003/4/25,19.111099
2003/4/28,18.7082
2003/4/29,18.7658
2003/4/30,18.4779
2003/5/2,18.4779
2003/5/5,19.456499
2003/5/6,19.0536
2003/5/7,18.3053
2003/5/8,18.6506
2003/5/9,18.420401
2003/5/12,18.7658
2003/5/13,19.226299
2003/5/14,19.226299
2003/5/15,19.2838
2003/5/16,19.168699
2003/5/19,19.2838
2003/5/20,19.111099
2003/5/21,18.880899
2003/5/22,18.996
2003/5/23,19.399
2003/5/26,19.456499
2003/5/27,19.7444
2003/5/28,19.6292
2003/5/29,19.456499
2003/5/30,19.5716
2003/6/2,19.0536
2003/6/3,18.420401
2003/6/5,17.8447
2003/6/6,18.2477
2003/6/9,18.2477
2003/6/10,18.2477
2003/6/11,18.5355
2003/6/12,18.362801
2003/6/13,18.3053
2003/6/16,18.4779
2003/6/17,18.1901
2003/6/18,18.3053
2003/6/19,18.420401
2003/6/20,18.6506
2003/6/23,18.6506
2003/6/24,18.7658
2003/6/25,18.7658
2003/6/26,18.420401
2003/6/27,18.6506
2003/6/30,18.5931
2003/7/1,19.168699
2003/7/2,19.3414
2003/7/3,19.6292
2003/7/4,19.5716
2003/7/7,19.7444
2003/7/8,20.089701
2003/7/9,20.147301
2003/7/10,20.6078
2003/7/11,20.435101
2003/7/14,20.435101
2003/7/15,21.0107
2003/7/16,20.7805
2003/7/17,21.0683
2003/7/18,21.7015
2003/7/21,21.240999
2003/7/22,21.5863
2003/7/23,23.083
2003/7/24,24.0616
2003/7/25,24.5797
2003/7/28,24.3494
2003/7/29,24.752399
2003/7/30,24.407
2003/7/31,24.752399
2003/8/1,24.6373
2003/8/4,24.752399
2003/8/5,25.1553
2003/8/6,25.1553
2003/8/7,25.040199
2003/8/8,25.7885
2003/8/11,27.573
2003/8/12,27.112499
2003/8/13,28.493999
2003/8/14,28.493999
2003/8/15,28.321301
2003/8/18,27.9184
2003/8/19,28.091101
2003/8/20,28.091101
2003/8/21,29.3575
2003/8/22,28.7819
2003/8/25,29.0697
2003/8/26,27.745701
2003/8/27,27.5154
2003/8/28,26.767099
2003/8/29,27.400299
2003/9/1,28.7819
2003/9/2,29.3575
2003/9/3,30.7966
2003/9/4,32.2356
2003/9/5,31.0844
2003/9/8,31.3722
2003/9/9,30.7966
2003/9/10,32.811298
2003/9/12,32.2356
2003/9/15,33.844101
2003/9/16,32.863098
2003/9/17,32.7229
2003/9/18,33.563801
2003/9/19,33.143398
2003/9/22,33.703999
2003/9/23,35.3857
2003/9/24,35.3857
2003/9/25,35.736
2003/9/26,35.736
2003/9/29,35.035301
2003/9/30,36.436699
2003/10/1,37.137402
2003/10/2,37.137402
2003/10/3,37.487801
2003/10/6,35.736
2003/10/7,35.035301
2003/10/8,34.1945
2003/10/9,35.3857
2003/10/13,35.035301
2003/10/14,35.3857
2003/10/15,35.736
2003/10/16,35.736
2003/10/17,35.035301
2003/10/20,35.736
2003/10/21,35.736
2003/10/22,35.3857
2003/10/23,35.3857
2003/10/24,35.736
2003/10/27,35.035301
2003/10/28,35.035301
2003/10/29,35.035301
2003/10/30,35.035301
2003/10/31,34.7551
2003/11/3,33.2836
2003/11/4,32.7229
2003/11/5,33.774101
2003/11/6,32.933201
2003/11/7,32.582802
2003/11/10,32.232399
2003/11/11,32.582802
2003/11/12,32.302601
2003/11/13,32.863098
2003/11/14,32.7229
2003/11/17,32.232399
2003/11/18,32.0923
2003/11/19,31.6719
2003/11/20,32.162399
2003/11/21,32.162399
2003/11/24,33.6339
2003/11/25,33.9842
2003/11/26,35.035301
2003/11/27,36.086399
2003/11/28,35.736
2003/12/1,36.086399
2003/12/2,35.736
2003/12/3,36.086399
2003/12/4,35.3857
2003/12/5,34.965199
2003/12/8,34.8251
2003/12/9,36.086399
2003/12/10,35.736
2003/12/11,34.8251
2003/12/12,35.035301
2003/12/15,35.3857
2003/12/16,34.895199
2003/12/17,34.8251
2003/12/18,34.474701
2003/12/19,34.895199
2003/12/22,35.035301
2003/12/23,35.035301
2003/12/24,34.7551
2003/12/25,35.3857
2003/12/26,34.8251
2003/12/29,34.965199
2003/12/30,34.7551
2003/12/31,34.334599
2004/1/2,32.863098
2004/1/5,34.124401
2004/1/6,33.703999
2004/1/7,33.9842
2004/1/8,34.124401
2004/1/9,33.6339
2004/1/12,34.1945
2004/1/13,35.035301
2004/1/14,35.3857
2004/1/15,35.736
2004/1/16,36.086399
2004/1/27,35.3857
2004/1/28,34.965199
2004/1/29,35.035301
